timestamp,buy_volume,sell_volume
2011-08-28T00:00:00.000Z,47.774379939999996,21.93
2011-08-29T00:00:00.000Z,1059.8071438700001,0
2011-08-30T00:00:00.000Z,316.94774050999996,499.98
2011-08-31T00:00:00.000Z,243.22216688999998,0
2011-09-01T00:00:00.000Z,250.29098315,198.67102271
2011-09-02T00:00:00.000Z,64.35733519,0
2011-09-03T00:00:00.000Z,28.79465864,25.90150019
2011-09-04T00:00:00.000Z,277.99144626,344.2305
2011-09-05T00:00:00.000Z,85.11693226999999,0
2011-09-06T00:00:00.000Z,80.03925089,0
2011-09-07T00:00:00.000Z,562.58029588,105.4
2011-09-08T00:00:00.000Z,38.14216112,0
2011-09-09T00:00:00.000Z,221.07380614,314.1730125
2011-09-10T00:00:00.000Z,113.81188872999999,59.31948436
2011-09-11T00:00:00.000Z,58.967581779999996,61.72
2011-09-12T00:00:00.000Z,106.28802954000001,101.71
2011-09-13T00:00:00.000Z,40.52400596,0
2011-09-14T00:00:00.000Z,119.07536520000002,87.48
2011-09-15T00:00:00.000Z,82.78113408,0
2011-09-16T00:00:00.000Z,103.65525035000002,0.74711083
2011-09-17T00:00:00.000Z,141.76648333,140.67812632
2011-09-18T00:00:00.000Z,104.64801097999998,0
2011-09-19T00:00:00.000Z,364.45242935,6.00000001
2011-09-20T00:00:00.000Z,42.74592971,0
2011-09-21T00:00:00.000Z,45.23090864,0
2011-09-22T00:00:00.000Z,44.838464050000006,100
2011-09-23T00:00:00.000Z,56.33999419,633.71153423
2011-09-24T00:00:00.000Z,132.0727225,7.03046044
2011-09-25T00:00:00.000Z,108.11482812999998,0
2011-09-26T00:00:00.000Z,31.691019380000004,60.67618688
2011-09-27T00:00:00.000Z,1184.9483456199998,57.29
2011-09-28T00:00:00.000Z,215.96913965,20.02
2011-09-29T00:00:00.000Z,57.65003192000001,47.4
2011-09-30T00:00:00.000Z,185.18007229,200
2011-10-01T00:00:00.000Z,536.4685574399999,500
2011-10-02T00:00:00.000Z,540.90673483,0
2011-10-03T00:00:00.000Z,243.68769783,30
2011-10-04T00:00:00.000Z,86.90911557,0
2011-10-05T00:00:00.000Z,39.09708706,6.551509279999999
2011-10-06T00:00:00.000Z,30.610902490000004,0
2011-10-07T00:00:00.000Z,330.44268210999996,166.43131713
2011-10-08T00:00:00.000Z,124.99130681,201.75910524
2011-10-09T00:00:00.000Z,63.42217575,1
2011-10-10T00:00:00.000Z,29.24168505,5.50727441
2011-10-11T00:00:00.000Z,51.41594928000001,0.91784871
2011-10-12T00:00:00.000Z,92.63464264000001,0
2011-10-13T00:00:00.000Z,89.19172274,0
2011-10-14T00:00:00.000Z,68.07318466,38.08
2011-10-15T00:00:00.000Z,914.1652745700001,0
2011-10-16T00:00:00.000Z,69.99786524999999,177.41742855
2011-10-17T00:00:00.000Z,266.73380827,137.4180474
2011-10-18T00:00:00.000Z,431.88331365,79.51085081
2011-10-19T00:00:00.000Z,559.3194618900001,52.59526562
2011-10-20T00:00:00.000Z,281.00157974999996,16.73929829
2011-10-21T00:00:00.000Z,342.35147549999994,66.92647911
2011-10-22T00:00:00.000Z,123.84011881,26.46
2011-10-23T00:00:00.000Z,163.84414388,1.0987669
2011-10-24T00:00:00.000Z,95.88474757000003,11.99486476
2011-10-25T00:00:00.000Z,113.53347516999999,29.65947296
2011-10-26T00:00:00.000Z,306.46261962,0
2011-10-27T00:00:00.000Z,196.7392847,102.51
2011-10-28T00:00:00.000Z,42.39120386,113.94561134
2011-10-29T00:00:00.000Z,188.66543256000003,698.68711571
2011-10-30T00:00:00.000Z,124.54976377000001,10.66862117
2011-10-31T00:00:00.000Z,53.54669504000001,36.25350177
2011-11-01T00:00:00.000Z,72.31110953,95.94664577
2011-11-02T00:00:00.000Z,235.8272826,0
2011-11-03T00:00:00.000Z,106.00893386999999,0
2011-11-04T00:00:00.000Z,49.96753747,0
2011-11-05T00:00:00.000Z,81.9596084,0
2011-11-06T00:00:00.000Z,53.533212750000004,0
2011-11-07T00:00:00.000Z,24.80823526,0
2011-11-08T00:00:00.000Z,111.55847220999999,14.26668417
2011-11-09T00:00:00.000Z,77.22879451,87.35
2011-11-10T00:00:00.000Z,136.72658933000002,0
2011-11-11T00:00:00.000Z,129.01268672999998,177.50560525
2011-11-12T00:00:00.000Z,839.0094816199999,12.71775009
2011-11-13T00:00:00.000Z,42.54089624,0
2011-11-14T00:00:00.000Z,79.13347834999999,52.81854645
2011-11-15T00:00:00.000Z,1153.63089766,2.08618082
2011-11-16T00:00:00.000Z,284.66671427,0.04568069
2011-11-17T00:00:00.000Z,1001.4772239199999,43.01303596
2011-11-18T00:00:00.000Z,317.28561103,1.94
2011-11-19T00:00:00.000Z,787.1435236399999,398.73461372
2011-11-20T00:00:00.000Z,378.88820286,27
2011-11-21T00:00:00.000Z,145.05042773000002,69.01278446
2011-11-22T00:00:00.000Z,666.29335423,0
2011-11-23T00:00:00.000Z,41.794182510000006,0
2011-11-24T00:00:00.000Z,46.33138361000001,18.44
2011-11-25T00:00:00.000Z,52.93088472,0
2011-11-26T00:00:00.000Z,467.24516981,52.12080401
2011-11-27T00:00:00.000Z,48.54430948,0
2011-11-28T00:00:00.000Z,1165.8606632999997,10
2011-11-29T00:00:00.000Z,574.28383869,1123.9603485799998
2011-11-30T00:00:00.000Z,563.1327975500001,0
2011-12-01T00:00:00.000Z,734.39091677,348.33
2011-12-02T00:00:00.000Z,214.05705898,453.47
2011-12-03T00:00:00.000Z,47.881561190000006,0
2011-12-04T00:00:00.000Z,443.85036735999995,505.00393476
2011-12-05T00:00:00.000Z,272.4794968700001,300
2011-12-06T00:00:00.000Z,752.42961468,531.83505903
2011-12-07T00:00:00.000Z,116.0810553,534.52
2011-12-08T00:00:00.000Z,60.80597628999999,0
2011-12-09T00:00:00.000Z,48.01954113000001,0
2011-12-10T00:00:00.000Z,695.10397076,0
2011-12-11T00:00:00.000Z,245.10351987000004,1034.97
2011-12-12T00:00:00.000Z,553.2727668199999,0
2011-12-13T00:00:00.000Z,389.22205433,10.42458
2011-12-14T00:00:00.000Z,81.91202501000001,0
2011-12-15T00:00:00.000Z,156.27923661999998,0
2011-12-16T00:00:00.000Z,38.88577215000001,31.22
2011-12-17T00:00:00.000Z,56.6687646,0
2011-12-18T00:00:00.000Z,492.30644861,851
2011-12-19T00:00:00.000Z,355.67142638999997,26.48
2011-12-20T00:00:00.000Z,57.746280609999985,0
2011-12-21T00:00:00.000Z,402.17840675,292.87996
2011-12-22T00:00:00.000Z,495.6011176299999,132.009996
2011-12-23T00:00:00.000Z,545.2452277599999,0
2011-12-24T00:00:00.000Z,90.23552543000001,10.66647219
2011-12-25T00:00:00.000Z,62.38232841,88.455
2011-12-26T00:00:00.000Z,39.33693809999999,500
2011-12-27T00:00:00.000Z,317.56356457,23.920002
2011-12-28T00:00:00.000Z,163.50728546999997,127.71000000000001
2011-12-29T00:00:00.000Z,136.31895661,12.85
2011-12-30T00:00:00.000Z,192.72501825,0
2011-12-31T00:00:00.000Z,56.47304114,87.5305
2012-01-01T00:00:00.000Z,251.19617523,407.401
2012-01-02T00:00:00.000Z,196.50541528999997,339.12
2012-01-03T00:00:00.000Z,172.97976303,210.672708
